CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,77 198,84 545,90 605,96 351,105 245,110 966,118 256,123 940,133 025,143 371
Africa,1 187,1 261,1 361,1 463,1 499,1 576,1 687,1 739,1 740,1 785
Angola,,,51,51,51,51,51,51,51,51
Burkina Faso,,0,0,1,1,1,1,1,1,1
Burundi,4,4,4,4,4,4,4,4,4,4
Chad,2,2,2,2,2,2,2,2,2,2
Congo DR,0,0,0,0,0,2,3,3,3,3
Congo Rep,12,12,12,12,12,12,12,12,12,12
Egypt,67,67,67,67,67,67,67,79,79,79
Eswatini,123,123,106,106,106,106,106,106,106,106
Ethiopia,20,71,71,119,145,205,290,290,290,335
Gabon,,,,1,1,1,1,1,1,1
Ghana,7,7,8,8,8,8,8,8,8,8
Kenya,67,67,67,88,88,87,87,87,87,87
Madagascar,0,0,0,0,0,0,0,0,0,0
Malawi,12,12,12,12,12,12,12,12,12,12
Mali,32,32,40,40,40,40,40,40,40,40
Mauritius,79,80,80,91,91,91,91,91,91,91
Morocco,1,1,1,5,7,7,7,7,7,7
Mozambique,14,14,14,14,14,14,14,14,14,14
Namibia,0,0,0,0,0,0,0,0,0,0
Nigeria,6,8,9,9,10,10,10,10,10,10
Reunion,44,44,44,45,46,46,46,87,87,87
Rwanda,1,1,1,1,1,1,1,1,1,1
Senegal,25,25,25,25,25,25,25,25,25,25
Sierra Leone,,,34,34,34,34,34,34,34,34
South Africa,246,246,246,251,256,260,265,265,265,265
Sudan,199,199,199,199,199,199,199,199,199,199
Tanzania,66,66,70,70,70,70,70,70,70,70
Uganda,16,36,54,65,65,76,96,96,96,96
Zambia,43,43,43,43,43,43,43,43,43,43
Zimbabwe,100,100,100,100,100,100,100,100,100,100
Asia,16 265,18 548,21 214,24 022,30 332,33 630,37 563,41 778,49 590,56 917
Bangladesh,3,3,4,5,5,5,5,5,5,5
Cambodia,34,26,34,32,30,50,51,51,42,42
China,4 617,6 089,6 653,7 977,9 269,11 234,13 235,16 537,23 583,29 753
Chinese Taipei,396,396,396,395,395,395,397,393,400,408
India,3 929,4 180,5 030,5 478,8 895,9 417,10 137,10 226,10 532,10 592
Indonesia,1 970,1 701,1 729,1 734,1 775,1 849,1 875,1 884,1 896,1 912
Japan,1 475,1 514,1 630,1 901,2 213,2 608,3 033,3 506,4 099,4 592
Kazakhstan,,0,0,0,0,1,1,2,8,16
Korea Rep,197,192,601,729,1 745,2 348,2 387,2 543,2 140,2 400
Lao PDR,,40,40,40,40,40,105,105,105,105
Malaysia,768,1 045,1 431,1 555,1 526,800,810,883,891,900
Myanmar,45,49,52,48,49,52,57,59,59,59
Nepal,7,7,7,7,7,7,7,7,6,6
Pakistan,263,269,325,333,374,374,433,433,433,433
Philippines,124,131,143,233,259,276,341,393,513,827
Singapore,128,160,183,205,210,211,218,218,218,218
Sri Lanka,12,13,26,26,30,40,51,54,54,59
Thailand,2 175,2 610,2 796,3 165,3 322,3 728,4 037,4 097,4 222,4 222
Viet Nam,125,125,136,161,188,195,384,383,384,367
C America + Carib,1 660,1 772,1 953,2 075,2 433,2 529,2 656,2 939,3 047,3 047
Aruba,,,2,2,2,2,2,2,2,2
Belize,28,28,28,28,44,52,52,42,42,42
Costa Rica,34,38,36,37,43,47,60,79,80,80
Cuba,519,470,499,530,495,532,554,842,951,951
Dominican Rep,16,16,16,17,47,47,47,47,47,47
El Salvador,259,270,305,202,259,270,305,305,300,300
Guadeloupe,31,31,31,31,31,31,35,35,35,35
Guatemala,473,598,714,873,1 056,1 091,1 103,1 036,1 036,1 036
Honduras,106,124,124,161,210,210,210,221,221,221
Jamaica,32,32,32,32,32,32,32,32,32,32
Martinique,2,2,2,3,3,3,39,39,39,39
Nicaragua,134,134,134,134,177,177,179,220,220,220
Panama,28,30,30,27,32,33,33,33,33,33
Puerto Rico,,,,,2,2,4,4,7,7
St Lucia,,,,,0,0,0,0,0,0
Eurasia,1 340,1 406,1 628,1 679,1 767,1 887,2 005,2 201,2 519,3 059
Azerbaijan,,37,37,38,38,43,45,45,45,45
Russian Fed,1 197,1 197,1 370,1 370,1 370,1 373,1 373,1 373,1 373,1 373
Turkey,142,172,221,271,359,472,587,784,1 101,1 641
Europe,30 066,31 404,33 095,34 493,35 520,36 948,39 781,40 921,41 470,41 846
Albania,,,,,,1,1,1,1,1
CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Andorra,5,5,5,5,5,5,5,5,5,5
Austria,1 672,1 507,1 411,1 396,1 393,1 290,1 271,1 249,1 251,1 251
Belarus,19,35,35,35,40,41,48,53,124,124
Belgium,986,965,913,943,923,912,887,906,922,931
Bosnia Herzg,,,,,1,1,1,3,3,3
Bulgaria,14,34,40,54,57,52,69,57,48,48
Croatia,19,24,25,53,63,87,115,127,135,145
Cyprus,9,10,10,10,10,10,13,13,13,13
Czechia,653,690,745,771,773,802,782,830,846,846
Denmark,1 376,1 185,1 248,1 243,1 305,1 791,1 774,1 791,1 785,1 778
Estonia,167,261,278,281,281,281,259,273,296,249
Faroe Islands,,,,,,,,,0,0
Finland,1 868,1 952,1 977,1 987,2 009,2 230,2 230,2 227,2 706,2 790
France,1 050,1 187,1 242,1 306,1 447,1 496,1 733,1 818,1 846,1 939
Germany,7 471,7 964,8 202,8 429,8 660,8 982,9 662,9 994,10 344,10 449
Greece,45,46,47,51,58,64,82,88,97,108
Hungary,331,328,549,519,427,491,513,504,509,509
Ireland,57,66,70,70,72,103,103,107,107,107
Italy,3 178,3 344,3 359,3 367,3 439,3 450,3 491,3 454,3 439,3 439
Latvia,66,108,121,126,143,154,134,158,156,171
Lithuania,53,69,76,76,79,87,111,112,133,131
Luxembourg,20,23,23,24,25,36,36,56,56,56
Malta,3,3,3,3,5,5,5,5,5,5
Moldova Rep,0,2,3,3,3,6,6,6,7,6
Netherlands,716,769,752,782,769,772,827,831,870,865
North Macedonia,,,,4,5,7,8,10,10,10
Norway,140,140,140,140,87,87,87,81,81,81
Poland,583,735,816,961,974,968,1 004,1 010,1 045,1 045
Portugal,568,551,561,577,587,582,648,702,715,741
Romania,35,46,94,118,123,140,141,139,165,164
Serbia,4,4,5,5,10,13,17,28,31,31
Slovakia,213,214,237,242,253,246,243,226,225,225
Slovenia,59,59,62,63,60,62,60,60,67,59
Spain,981,1 013,1 032,1 035,1 037,1 045,1 057,1 112,1 264,1 278
Sweden,4 348,4 013,4 483,4 716,4 850,4 822,5 021,5 299,4 462,4 462
Switzerland,232,232,229,240,241,242,242,241,245,245
UK,3 117,3 791,4 254,4 808,5 251,5 514,6 997,7 165,7 243,7 259
Ukraine,13,31,50,53,60,73,98,180,212,275
European Union (27),26 615,27 240,28 445,29 279,29 898,31 038,32 391,33 312,33 672,33 969
Middle East,67,72,79,100,107,107,107,107,105,105
Iran IR,7,7,11,11,11,11,11,11,11,11
Israel,10,14,17,28,28,28,28,28,26,26
Jordan,4,4,4,13,13,13,13,13,13,13
Lebanon,2,2,2,2,9,9,9,9,9,9
Palestine,,,,,,0,0,0,0,0
Qatar,38,38,38,38,38,38,38,38,38,38
Syrian AR,7,7,7,7,7,7,7,7,7,7
United Arab Em,,1,1,1,1,1,1,1,1,1
Yemen,,,,,,,,,,0
N America,13 777,14 947,15 628,16 309,16 470,16 654,16 536,15 690,15 704,17 054
Canada,2 013,2 041,2 497,2 473,2 540,2 642,2 654,2 410,2 416,2 416
Mexico,444,515,606,722,882,1 027,1 109,1 014,1 016,1 064
USA,11 321,12 392,12 526,13 115,13 049,12 985,12 774,12 267,12 271,13 574
Oceania,1 009,1 001,1 012,1 015,1 050,1 066,1 066,1 066,1 078,1 086
Australia,827,817,824,826,864,864,864,864,875,876
Fiji,42,42,42,42,42,54,54,54,54,61
New Caledon,0,0,0,0,0,0,0,0,0,0
New Zealand,120,120,124,125,122,126,126,126,126,126
Papua N Guin,16,18,18,18,18,18,18,18,18,18
Samoa,,,,,,,,,1,1
Solomon Is,1,1,1,1,1,1,1,1,1,1
Vanuatu,3,3,3,3,3,3,3,3,3,3
S America,11 827,14 134,14 635,15 196,16 067,16 570,16 857,17 500,17 774,18 473
Argentina,249,256,244,252,203,248,250,298,310,288
Bolivia,85,85,126,134,142,142,160,174,185,200
Brazil,9 922,11 601,12 343,13 311,14 187,14 574,14 819,15 357,15 650,16 300
Chile,859,1 267,926,466,463,466,467,502,452,438
Colombia,182,187,215,237,257,310,320,320,329,397
Ecuador,101,101,144,144,146,152,152,152,152,153
Fr Guiana,2,2,2,2,2,2,2,5,5,5
Guyana,51,51,51,51,42,42,42,42,42,42
Paraguay,0,39,39,39,39,39,39,22,22,22
Peru,131,131,131,133,160,170,174,195,195,195
Suriname,,,,2,2,2,2,2,2,2
Uruguay,243,413,415,424,424,424,430,431,431,431
