CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,1 090 111,1 137 100,1 175 994,1 210 655,1 245 903,1 270 876,1 293 619,1 311 765,1 335 114,1 360 054
Africa,27 371,28 565,28 653,29 181,31 107,34 215,35 595,36 312,36 921,37 525
Algeria,228,228,228,228,228,228,228,228,228,228
Angola,873,953,969,969,1 700,2 393,3 061,3 395,3 729,3 729
Benin,1,1,1,1,1,1,1,1,1,1
Burkina Faso,32,32,32,32,32,32,32,35,35,35
Burundi,51,51,51,51,51,48,48,48,48,48
Cameroon,729,733,733,733,733,732,732,812,812,812
Cent Afr Rep,19,19,19,19,19,19,19,19,19,19
Comoros,1,1,1,1,1,1,1,1,1,1
Congo DR,2 514,2 515,2 515,2 528,2 542,2 553,2 713,2 723,2 723,2 723
Congo Rep,194,194,194,194,201,214,214,214,214,214
Cote d Ivoire,604,604,604,604,604,879,879,879,879,879
Egypt,2 800,2 800,2 800,2 800,2 800,2 800,2 832,2 832,2 832,2 832
Eq Guinea,126,126,126,126,126,126,127,127,127,127
Eswatini,62,62,62,62,62,62,62,62,62,62
Ethiopia,1 972,1 972,1 972,2 159,2 159,3 817,3 817,3 817,4 071,4 071
Gabon,170,330,330,330,330,330,330,330,330,330
Ghana,1 180,1 580,1 580,1 584,1 584,1 584,1 584,1 584,1 584,1 584
Guinea,128,128,128,368,368,368,368,368,368,818
Kenya,814,822,822,828,832,843,846,851,851,851
Lesotho,75,75,75,75,75,75,75,75,75,75
Liberia,4,4,4,4,26,92,92,92,92,92
Madagascar,162,162,163,164,164,164,164,164,164,164
Malawi,287,287,351,351,352,352,367,374,374,374
Mali,253,315,315,315,315,315,315,315,315,315
Mauritius,60,61,61,61,61,61,61,61,61,61
Morocco,1 770,1 770,1 770,1 770,1 770,1 770,1 770,1 770,1 770,1 770
Mozambique,2 186,2 186,2 186,2 187,2 187,2 204,2 204,2 204,2 204,2 204
Namibia,330,330,330,330,347,347,347,347,351,351
Nigeria,2 110,2 110,2 110,2 111,2 111,2 111,2 111,2 111,2 111,2 111
Reunion,133,134,134,134,133,133,133,133,133,133
Rwanda,57,60,66,94,98,99,99,110,120,120
Sao Tome Prn,2,2,2,2,2,2,2,2,2,2
Sierra Leone,54,54,56,56,56,61,61,61,61,61
South Africa,2 135,2 135,2 133,2 148,3 147,3 480,3 480,3 480,3 480,3 484
Sudan,1 322,1 322,1 322,1 322,1 322,1 322,1 482,1 482,1 482,1 482
