CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,104 312,141 169,180 216,228 054,300 199,395 276,488 820,591 059,716 788,849 473
Africa,411,732,1 738,2 256,3 413,5 236,8 195,9 500,10 789,11 387
Algeria,25,25,26,74,244,425,448,448,448,448
Angola,10,11,12,13,13,13,13,13,13,13
Benin,,,0,1,3,3,3,3,3,3
Botswana,2,2,2,2,3,3,4,6,6,6
Burkina Faso,6,6,7,8,10,47,62,62,62,62
Burundi,2,3,3,3,4,5,5,5,5,5
Cabo Verde,6,6,6,6,6,6,8,8,8,8
Cameroon,3,4,6,7,9,12,14,14,14,14
Cent Afr Rep,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,1,1
Congo DR,0,0,1,1,3,5,20,20,20,20
Congo Rep,0,0,0,0,0,1,1,1,1,1
Cote d Ivoire,2,3,4,5,5,8,13,13,13,13
Djibouti,0,0,0,0,0,0,0,0,0,0
Egypt,35,35,35,36,59,180,764,1 647,1 675,1 675
Eq Guinea,,,,,,,,,,
Eritrea,0,0,8,8,8,10,18,20,22,24
Eswatini,1,1,1,1,1,1,1,1,1,11
Ethiopia,1,3,9,10,14,12,12,12,20,21
Gabon,1,1,1,1,1,1,1,1,1,1
Gambia,2,2,2,2,2,2,2,2,2,2
Ghana,,3,6,31,38,47,78,85,108,108
Guinea,1,3,3,13,13,13,13,13,13,13
Guinea Bissau,,,,0,0,0,1,1,1,1
Kenya,3,7,16,30,31,38,105,106,106,147
Lesotho,,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,2,3,3,3,3
Libya,5,5,5,5,5,5,5,5,5,6
Madagascar,3,5,7,9,11,13,33,33,33,33
Malawi,3,5,8,12,12,19,26,80,82,142
Mali,16,16,16,17,18,19,19,19,70,100
Mauritania,,18,18,18,35,35,87,88,88,88
Mauritius,1,2,18,19,27,29,67,83,83,83
Mayotte,13,13,13,13,13,15,15,15,18,18
Morocco,35,35,40,200,202,204,734,734,734,774
Mozambique,2,5,7,10,13,15,55,55,55,55
Namibia,11,15,16,21,36,75,93,145,145,145
Niger,4,5,6,7,8,9,27,27,27,27
Nigeria,15,15,16,17,18,19,19,28,28,33
Reunion,153,156,167,187,186,188,190,191,205,217
Rwanda,0,1,10,14,19,28,38,38,38,38
Sao Tome Prn,,0,0,0,0,0,0,0,0,0
Senegal,6,7,9,9,42,107,148,171,171,238
Seychelles,,0,1,1,2,3,4,4,4,9
Sierra Leone,0,0,0,0,0,4,4,4,4,4
Somalia,,,0,0,5,7,7,7,16,24
South Africa,11,262,1 163,1 352,2 174,3 447,4 801,4 905,5 990,6 221
South Sudan,0,0,0,0,0,0,1,1,1,1
Sudan,8,15,17,20,26,36,59,80,117,136
Tanzania,1,4,11,13,19,22,26,24,24,24
Togo,0,0,1,2,2,3,4,5,6,56
Tunisia,6,10,17,28,38,47,64,80,95,95
Uganda,17,19,20,22,24,44,67,77,87,92
Zambia,,0,0,0,0,0,1,96,96,96
Zimbabwe,1,2,3,4,5,6,11,16,18,30
Asia,16 210,36 225,60 687,90 573,140 470,211 815,276 339,332 679,410 144,485 848
Afghanistan,16,17,18,19,20,22,22,31,31,31
Bangladesh,66,94,119,145,161,185,201,239,284,329
Bhutan,0,0,0,0,0,0,0,0,0,0
Brunei Darsm,1,1,1,1,1,1,1,1,1,5
Cambodia,5,6,9,12,18,29,29,124,315,428
China,6 719,17 759,28 399,43 549,77 819,130 832,175 262,204 971,253 964,306 973
Chinese Taipei,231,410,636,884,1 245,1 768,2 738,4 150,5 817,7 700
India,982,1 599,3 773,5 693,9 979,18 252,27 453,35 203,39 385,49 684
Indonesia,26,38,42,79,88,98,65,155,185,211
Japan,6 632,13 599,23 339,34 150,42 040,49 500,56 162,63 192,69 764,74 191
Kazakhstan,2,16,76,144,157,175,490,1 150,1 719,2 834
Korea DPR,2,6,11,23,32,35,38,42,42,52
Korea Rep,1 024,1 555,2 481,3 615,4 502,5 835,8 099,11 952,14 575,18 161
Lao PDR,0,0,2,2,2,8,34,34,34,34
Malaysia,32,139,205,266,344,394,545,894,1 483,1 787
Maldives,1,2,4,5,7,11,16,21,27,31
Mongolia,5,5,5,5,15,48,64,89,90,90
Myanmar,3,4,6,21,32,44,48,88,84,80
Nepal,9,11,12,13,14,54,52,51,67,93
Pakistan,46,101,165,266,590,655,679,763,860,1 083
Philippines,2,3,28,173,784,908,917,982,1 058,1 370
CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Singapore,8,12,25,46,97,116,161,276,336,433
Sri Lanka,10,13,20,31,63,131,185,285,371,434
Thailand,382,829,1 304,1 425,2 451,2 702,2 967,2 988,2 988,3 049
Timor Leste,1,1,1,1,1,1,1,1,1,1
Uzbekistan,,1,1,1,2,3,4,4,4,104
Viet Nam,5,5,5,5,5,8,105,4 993,16 660,16 660
C America + Carib,202,282,343,1 040,1 246,1 611,1 997,2 483,2 791,3 276
Anguilla,0,0,1,1,2,2,1,2,2,2
Antigua Barb,0,0,0,3,4,4,9,9,13,13
Aruba,1,2,5,6,6,6,6,6,6,6
Bahamas,1,1,1,1,1,1,1,2,2,2
Barbados,2,2,7,9,20,21,22,35,50,50
Belize,2,2,3,4,4,4,4,6,7,7
BES Islands,,,,0,2,4,6,7,7,7
Br Virgin Is,0,0,0,0,0,0,0,0,0,0
Cayman Is,,,,,3,9,10,11,13,14
Costa Rica,10,13,17,22,24,28,28,48,57,74
Cuba,1,11,22,24,37,65,128,159,217,246
Curacao,0,3,8,10,11,11,12,12,13,13
Dominica,0,0,0,0,1,1,0,0,0,0
Dominican Rep,2,8,15,25,73,106,205,315,386,490
El Salvador,0,13,13,24,25,121,198,403,478,478
Grenada,0,1,1,1,2,2,3,3,4,4
Guadeloupe,60,67,67,67,68,70,70,81,85,86
Guatemala,2,3,10,93,93,99,101,101,101,101
Haiti,1,1,2,2,2,3,3,3,3,3
Honduras,5,5,5,393,414,454,514,514,514,514
Jamaica,2,2,4,7,28,56,56,93,93,93
Martinique,60,62,63,65,67,68,71,76,76,78
Montserrat,,,,,,,,0,0,1
Nicaragua,,1,1,1,1,14,14,16,16,16
Panama,3,4,6,49,93,147,210,222,242,465
Puerto Rico,47,77,82,212,247,302,305,336,384,491
St Barth,,,,,0,0,0,0,0,0
St Kitts Nevis,0,0,1,1,2,2,2,2,2,2
St Lucia,0,0,0,1,1,1,4,4,4,4
St Martin,,1,2,3,2,0,0,1,1,1
St Vincent Gren,0,0,0,1,1,1,1,2,2,2
Trinidad Tobago,3,3,3,4,4,4,4,4,4,4
Turks Caicos,,,,0,0,0,0,1,1,1
US Virgin Is,1,1,5,9,9,5,10,10,10,10
Eurasia,13,21,48,316,936,3 678,5 651,7 359,8 230,9 704
Armenia,,,,,1,2,17,50,95,183
Azerbaijan,1,1,2,5,25,28,35,35,38,43
Georgia,,,,,0,0,0,1,1,1
Russian Fed,0,1,5,61,76,225,535,1 276,1 428,1 661
Turkey,12,19,41,250,834,3 422,5 064,5 996,6 668,7 817
Europe,73 723,84 170,91 092,99 605,106 171,112 302,121 620,142 436,162 835,185 877
Albania,1,1,1,1,1,1,1,14,17,22
Andorra,,,0,0,0,0,1,2,3,4
Austria,337,626,785,937,1 096,1 269,1 455,1 702,2 043,2 692
Belarus,,,4,6,47,80,154,154,160,269
Belgium,2 647,2 902,3 015,3 132,3 329,3 621,4 000,4 637,5 575,6 585
Bosnia Herzg,0,1,7,8,14,16,18,22,35,53
Bulgaria,1 013,1 020,1 026,1 029,1 028,1 036,1 033,1 048,1 097,1 186
Croatia,4,19,33,48,56,60,68,85,109,109
Cyprus,17,35,64,76,84,110,118,151,229,316
Czechia,2 022,2 064,2 067,2 075,2 068,2 070,2 075,2 086,2 123,2 119
Denmark,402,571,607,782,851,906,998,1 080,1 304,1 540
Estonia,0,2,3,7,10,15,32,121,208,414
Faroe Islands,,,,,,,,0,0,0
Finland,8,9,11,17,39,82,140,222,318,404
France,4 359,5 277,6 034,7 138,7 702,8 610,9 672,10 817,12 031,14 718
Germany,34 077,36 710,37 900,39 224,40 679,42 293,45 158,48 914,53 721,58 461
Greece,1 536,2 579,2 596,2 604,2 604,2 606,2 652,2 834,3 288,3 530
Hungary,12,35,89,172,235,344,728,1 400,2 131,2 131
Iceland,1,1,1,3,4,4,5,7,7,7
Ireland,1,1,2,2,6,17,32,58,93,136
Italy,16 790,18 190,18 600,18 907,19 289,19 688,20 114,20 871,21 656,22 698
Kosovo*,,,,0,2,7,7,10,10,10
Latvia,0,0,0,0,1,1,2,3,5,8
Lithuania,7,68,69,69,70,78,92,133,248,338
Luxembourg,75,95,110,116,122,128,131,160,187,209
Malta,16,29,55,75,94,112,132,155,188,196
Moldova Rep,,,1,1,2,2,3,5,4,8
Montenegro,1,1,2,3,3,3,4,5,6,7
Netherlands,287,650,1 007,1 526,2 135,2 911,4 608,7 226,10 950,14 249
CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North Macedonia,4,7,15,17,17,17,21,26,94,94
Norway,10,11,13,15,27,45,68,120,160,225
Poland,1,2,27,108,187,287,562,1 539,3 955,6 257
Portugal,238,296,415,447,513,579,667,901,1 100,1 801
Romania,41,761,1 293,1 326,1 372,1 374,1 386,1 398,1 383,1 398
Serbia,7,10,13,16,17,18,21,23,31,52
Slovakia,513,533,533,533,533,528,472,590,535,535
Slovenia,142,187,223,238,233,247,247,278,370,367
Spain,6 569,6 994,7 001,7 008,7 017,7 027,7 068,11 143,12 589,15 952
Sweden,24,43,60,104,153,244,428,714,1 107,1 577
Switzerland,437,756,1 061,1 394,1 664,1 906,2 173,2 498,2 973,3 449
UK,1 753,2 937,5 528,9 601,11 914,12 760,13 073,13 346,13 462,13 689
Ukraine,372,748,819,841,955,1 200,2 003,5 936,7 331,8 062
European Union (27),71 460,80 033,83 974,88 080,91 888,96 630,104 461,120 677,138 982,160 382
Middle East,309,569,819,1 076,1 582,2 217,3 410,6 181,7 473,8 411
Bahrain,1,1,5,5,6,6,6,9,10,11
Iran IR,0,1,9,9,43,184,286,346,430,456
Iraq,,30,37,37,37,37,37,37,37,37
Israel,278,383,593,772,880,988,1 291,2 056,2 472,2 555
Jordan,0,0,0,6,287,397,700,1 186,1 448,1 521
Kuwait,0,0,2,3,31,32,43,93,93,93
Lebanon,0,0,2,9,22,35,58,79,79,79
Oman,,1,1,2,2,8,8,9,112,138
Palestine,1,1,3,12,25,35,40,82,117,117
Qatar,1,2,4,4,5,5,5,5,5,5
Saudi Arabia,14,22,24,24,24,34,84,109,109,439
Syrian AR,,,,,,0,1,2,2,2
United Arab Em,13,126,133,134,141,355,598,1 918,2 306,2 705
Yemen,1,2,5,60,80,100,250,250,253,253
N America,9 452,14 364,19 668,26 248,38 014,47 173,57 220,68 593,84 067,105 878
Canada,766,1 210,1 843,2 519,2 665,2 932,3 095,3 327,3 342,3 630
Greenland,,,,,,,0,0,0,0
Mexico,73,109,174,287,633,1 126,2 555,4 440,5 163,7 040
USA,8 613,13 045,17 651,23 442,34 716,43 115,51 570,60 826,75 562,95 209
Oceania,3 829,4 609,5 356,6 077,6 856,7 572,8 875,13 286,17 706,19 442
Amer Samoa,2,2,2,2,4,4,5,5,5,5
Australia,3 799,4 568,5 287,5 946,6 689,7 354,8 625,12 969,17 344,19 076
Cook Is,0,1,2,3,3,3,5,5,5,5
Fiji,1,1,2,3,5,7,9,10,10,10
Fr Polynesia,14,17,25,28,32,35,37,41,41,41
Guam,0,1,1,32,35,35,35,35,35,35
Kiribati,0,1,1,2,3,3,3,3,3,3
Marshall Is,0,1,1,1,2,2,2,2,2,2
Micronesia,1,1,1,1,1,1,2,2,2,2
Nauru,0,0,0,0,1,1,1,2,2,2
New Caledon,3,3,3,7,9,26,29,62,80,80
New Zealand,4,8,22,37,53,70,90,116,142,146
Niue,0,0,0,0,0,0,0,1,1,1
Palau,1,1,1,1,1,1,2,2,2,2
Papua N Guin,0,0,0,1,1,1,1,3,3,3
Samoa,0,0,3,5,7,14,14,14,14,14
Solomon Is,1,1,1,1,2,3,3,3,3,3
Tokelau,1,1,1,1,1,1,1,1,1,1
Tonga,1,2,2,3,3,6,6,6,6,6
Tuvalu,0,0,0,2,2,2,2,2,2,2
Vanuatu,0,0,0,0,2,3,4,4,4,4
S America,164,197,464,862,1 511,3 672,5 512,8 541,12 753,19 649
Argentina,6,8,8,9,9,9,191,442,764,1 071
Bolivia,4,6,6,6,6,8,70,120,120,170
Brazil,7,13,21,46,128,1 207,2 435,4 613,7 879,13 055
Chile,2,15,221,576,1 125,1 809,2 137,2 654,3 205,4 468
Colombia,1,1,1,1,2,11,13,26,86,184
Ecuador,0,4,26,26,26,26,27,28,28,28
Falklands Malv,,,,0,0,0,0,0,0,0
Fr Guiana,36,37,37,47,47,47,47,47,55,55
Guyana,1,1,1,2,2,3,6,8,8,8
Paraguay,0,0,0,0,0,0,0,0,0,0
Peru,103,109,130,135,146,298,324,335,335,336
Suriname,1,1,6,6,7,8,9,9,9,9
Uruguay,1,1,3,6,10,243,248,254,258,258
Venezuela,2,2,3,5,5,5,4,5,5,5
