CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,1 443 923,1 566 148,1 698 319,1 851 651,2 013 932,2 184 709,2 357 495,2 541 688,2 807 265,3 063 926
Africa,28 445,30 648,32 661,34 982,37 643,43 090,48 443,50 575,53 608,55 705
Algeria,253,253,264,312,482,663,686,686,686,686
Angola,883,964,1 032,1 033,1 765,2 458,3 126,3 460,3 794,3 794
Benin,1,1,1,2,3,3,3,3,3,3
Botswana,2,2,2,2,3,3,4,6,6,6
Burkina Faso,38,38,39,41,43,80,95,98,98,98
Burundi,56,57,58,58,59,57,57,57,57,57
Cabo Verde,33,33,33,33,33,33,35,35,35,35
Cameroon,731,736,738,740,742,744,746,826,827,827
Cent Afr Rep,19,19,19,19,19,19,19,19,19,19
Chad,2,2,2,2,3,3,3,3,4,4
Comoros,1,1,1,1,1,1,1,1,1,1
Congo DR,2 514,2 515,2 516,2 529,2 545,2 560,2 736,2 746,2 746,2 746
Congo Rep,206,206,207,207,213,227,227,227,227,227
Cote d Ivoire,606,607,608,609,609,887,892,892,892,892
Djibouti,0,0,0,0,0,0,0,0,0,20
Egypt,3 457,3 457,3 457,3 658,3 681,3 802,4 793,5 690,5 966,6 226
Eq Guinea,126,126,126,126,126,126,127,127,127,127
Eritrea,1,1,9,9,9,11,19,21,23,25
Eswatini,186,186,169,169,169,169,169,169,169,179
Ethiopia,2 081,2 224,2 230,2 619,2 649,4 366,4 451,4 451,4 713,4 759
Gabon,172,332,332,333,333,333,333,333,333,333
Gambia,3,3,3,3,3,3,3,3,3,3
Ghana,1 187,1 590,1 594,1 624,1 630,1 640,1 670,1 677,1 700,1 700
Guinea,129,132,132,382,382,382,382,382,382,832
Guinea Bissau,,,,0,0,0,1,1,1,1
Kenya,1 095,1 107,1 278,1 592,1 630,1 668,2 057,2 064,2 243,2 384
Lesotho,75,75,75,75,75,75,75,75,75,75
Liberia,4,4,4,4,26,94,95,95,95,95
Libya,5,5,5,5,5,5,5,5,5,6
Madagascar,165,167,170,173,175,177,197,197,197,197
Malawi,302,305,371,375,376,383,405,466,467,527
Mali,301,363,371,372,373,375,375,375,425,455
Mauritania,,22,23,53,69,69,121,122,122,122
Mauritius,142,145,161,171,189,191,230,246,246,246
Mayotte,13,13,13,13,13,15,15,15,18,18
Morocco,1 597,1 837,2 143,2 307,2 412,2 540,3 272,3 272,3 452,3 522
Mozambique,2 201,2 205,2 207,2 211,2 214,2 233,2 273,2 273,2 273,2 273
Namibia,342,345,347,351,383,427,445,497,501,501
Niger,4,5,6,7,8,9,27,27,27,27
Nigeria,2 132,2 133,2 135,2 137,2 139,2 140,2 140,2 149,2 150,2 154
Reunion,345,348,359,380,383,384,386,428,442,454
Rwanda,58,62,77,109,119,127,137,149,159,159
Sao Tome Prn,2,2,2,2,2,3,3,3,3,3
Senegal,31,32,34,34,67,132,173,251,355,421
Seychelles,,6,7,7,8,9,10,10,10,15
Sierra Leone,54,55,90,90,91,99,99,99,99,99
Somalia,2,2,2,3,7,10,11,11,19,27
South Africa,1 003,1 500,2 710,3 429,4 650,6 548,7 907,8 011,9 518,10 193
South Sudan,0,0,0,0,0,0,1,1,1,1
Sudan,1 529,1 536,1 538,1 541,1 547,1 557,1 740,1 761,1 798,1 817
Tanzania,638,641,652,659,670,675,679,683,685,685
Togo,67,67,67,68,69,69,70,72,73,123
Tunisia,241,272,312,330,340,349,375,391,406,406
Uganda,616,746,766,782,784,827,907,1 177,1 194,1 199
Zambia,1 942,2 302,2 302,2 311,2 431,2 441,2 442,2 538,2 538,2 688
Zimbabwe,854,860,861,878,882,887,1 192,1 198,1 199,1 211
Asia,478 747,553 516,632 768,722 324,813 517,921 480,1 026 530,1 125 936,1 301 016,1 455 712
Afghanistan,289,294,299,303,349,355,355,364,364,372
Bangladesh,291,329,356,382,399,423,439,477,522,567
Bhutan,1 488,1 488,1 488,1 615,1 615,1 615,1 615,2 335,2 335,2 335
Brunei Darsm,1,1,1,1,1,1,1,1,1,5
Cambodia,264,715,973,975,979,1 059,1 410,1 505,1 687,1 800
China,302 101,359 516,414 651,479 103,541 016,620 856,695 463,758 844,899 625,1 020 234
Chinese Taipei,3 280,3 501,3 751,4 015,4 411,4 944,5 940,7 480,9 248,11 240
India,60 456,63 589,71 889,78 579,90 411,105 253,118 195,128 428,134 455,147 122
Indonesia,7 489,8 261,8 417,8 574,9 064,9 459,9 805,10 300,10 507,11 157
Japan,38 996,46 084,56 103,67 486,76 219,84 187,91 309,99 269,106 862,111 860
Kazakhstan,2 578,2 608,2 805,2 893,2 951,3 015,3 369,4 214,4 997,7 086
Korea DPR,4 262,4 289,4 304,4 490,4 733,4 796,4 828,4 832,4 907,4 917
Korea Rep,3 687,4 330,5 716,7 217,9 354,11 442,13 951,18 054,20 411,24 365
Kyrgyzstan,3 072,3 572,3 671,3 677,3 677,3 689,3 673,3 673,3 677,3 684
Lao PDR,2 923,2 968,3 253,4 355,4 931,5 170,5 521,6 348,7 722,8 489
Malaysia,4 248,5 718,6 397,7 563,7 991,7 339,7 520,7 961,8 570,8 898
Maldives,3,3,5,6,9,12,18,22,28,32
Mongolia,35,85,85,85,97,180,251,276,277,277
Myanmar,2 721,2 865,3 043,3 267,3 346,3 400,3 409,3 452,3 448,3 444
Nepal,725,761,778,834,854,1 000,1 118,1 238,1 375,2 091
Pakistan,7 141,7 563,7 913,8 125,8 802,9 218,12 197,12 349,12 566,12 888
CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Philippines,4 849,4 857,5 281,5 625,6 272,6 424,6 596,6 772,6 986,7 617
Singapore,136,172,209,251,307,327,380,494,554,651
Sri Lanka,1 688,1 729,1 837,1 878,1 952,2 049,2 163,2 283,2 403,2 545
Tajikistan,4 811,4 814,5 035,5 033,5 039,5 039,5 153,5 273,5 273,5 274
Thailand,5 677,6 677,7 373,7 902,9 369,10 147,11 215,11 700,11 824,11 885
Timor Leste,1,1,1,1,1,1,1,1,1,1
Turkmenistan,1,1,1,1,1,1,1,1,1,2
Uzbekistan,1 822,1 823,1 872,1 882,1 883,1 861,1 919,1 912,2 009,2 147
Viet Nam,13 713,14 901,15 263,16 208,17 485,18 217,18 715,26 077,38 379,42 727
C America + Carib,9 510,9 871,10 457,11 908,13 520,14 307,15 073,16 235,16 795,17 352
Anguilla,0,0,1,1,2,2,1,2,2,2
Antigua Barb,0,0,0,3,4,4,9,9,17,17
Aruba,31,32,37,38,38,38,38,38,38,38
Bahamas,1,1,1,1,1,1,1,2,2,2
Barbados,2,2,7,9,20,21,22,35,50,50
Belize,84,84,85,86,102,110,111,103,103,103
BES Islands,11,11,11,11,13,16,17,18,18,18
Br Virgin Is,1,1,1,1,1,1,1,1,1,1
Cayman Is,,,,,3,9,10,11,13,14
Costa Rica,2 153,2 174,2 245,2 359,2 894,3 010,3 075,3 144,3 124,3 189
Cuba,594,555,596,629,610,675,758,1 085,1 252,1 281
Curacao,30,33,38,40,41,58,58,58,60,60
Dominica,7,7,7,7,7,7,7,7,7,7
Dominican Rep,717,723,734,745,872,906,1 053,1 350,1 428,1 532
El Salvador,950,974,1 010,924,982,1 169,1 281,1 486,1 593,1 593
Grenada,0,1,1,1,2,2,3,3,4,4
Guadeloupe,138,144,141,148,148,153,158,185,188,199
Guatemala,1 515,1 646,1 775,2 178,2 667,2 753,2 863,2 870,2 870,2 872
Haiti,57,58,58,58,58,59,80,81,81,81
Honduras,751,839,905,1 362,1 469,1 599,1 697,1 741,1 853,1 865
Jamaica,96,103,105,108,189,217,217,254,254,254
Martinique,63,65,66,69,71,73,112,128,131,132
Montserrat,,,,,,,,0,0,1
Nicaragua,551,556,596,613,661,674,676,733,733,734
Panama,1 500,1 548,1 715,2 053,2 164,2 227,2 290,2 320,2 353,2 554
Puerto Rico,248,300,304,435,472,503,508,540,591,721
St Barth,,,,,0,0,0,0,0,0
St Kitts Nevis,2,3,4,4,4,4,4,4,4,4
St Lucia,0,0,0,1,1,1,4,4,4,4
St Martin,,1,2,3,2,0,0,1,1,1
St Vincent Gren,6,6,6,6,7,7,7,8,8,8
Trinidad Tobago,3,3,3,4,4,4,4,4,4,4
Turks Caicos,,,,0,0,0,0,1,1,1
US Virgin Is,1,1,5,9,9,5,10,10,10,10
Eurasia,76 998,81 330,84 813,88 617,91 668,96 620,100 650,104 442,110 177,115 741
Armenia,1 253,1 292,1 301,1 289,1 316,1 332,1 357,1 389,1 434,1 522
Azerbaijan,1 026,1 125,1 120,1 154,1 184,1 194,1 277,1 291,1 299,1 308
Georgia,2 710,2 734,2 872,2 877,2 936,3 178,3 172,3 461,3 345,3 461
Russian Fed,49 823,50 629,51 581,51 781,51 787,52 170,52 614,53 913,54 900,56 217
Turkey,22 186,25 551,27 940,31 516,34 446,38 746,42 230,44 389,49 199,53 233
Europe,395 036,418 841,439 808,464 891,488 495,512 781,537 416,574 735,608 346,647 398
Albania,1 629,1 782,1 726,1 799,1 914,2 049,2 107,2 177,2 307,2 312
Andorra,51,51,51,51,51,51,52,53,54,55
Austria,16 656,17 192,17 839,18 473,19 336,19 596,20 376,20 774,21 126,22 014
Belarus,55,74,81,97,222,300,390,415,492,601
Belgium,5 122,5 765,5 993,6 363,6 731,7 428,8 263,9 511,11 283,12 402
Bosnia Herzg,1 702,1 703,1 719,1 725,1 776,1 808,1 886,1 931,2 002,1 977
Bulgaria,4 021,4 076,4 120,4 137,4 143,4 294,4 316,4 322,4 361,4 452
Croatia,2 332,2 475,2 577,2 713,2 793,2 916,2 979,3 068,3 255,3 454
Cyprus,173,192,221,244,252,278,289,322,400,486
