CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,266 918,299 840,349 307,416 170,466 866,514 215,563 466,621 270,731 763,824 874
Africa,1 128,1 742,2 399,3 320,3 826,4 579,5 472,5 529,6 485,7 334
Algeria,,,10,10,10,10,10,10,10,10
Cabo Verde,27,27,27,27,27,27,28,28,28,28
Chad,,,,,1,1,1,1,1,1
Djibouti,,,,,,,,,,20
Egypt,555,555,555,755,755,755,1 130,1 132,1 380,1 640
Eritrea,1,1,1,1,1,1,1,1,1,1
Ethiopia,81,171,171,324,324,324,324,324,324,324
Gambia,1,1,1,1,1,1,1,1,1,1
Ghana,,,,0,0,0,0,0,0,0
Kenya,6,6,6,26,26,26,336,336,336,436
Madagascar,0,0,0,0,0,0,0,0,0,0
Mauritania,,4,4,34,34,34,34,34,34,34
Mauritius,1,1,1,1,11,11,11,11,11,11
Morocco,255,495,797,797,897,1 023,1 225,1 225,1 405,1 435
Namibia,0,0,0,0,0,5,5,5,5,5
Reunion,15,15,15,15,17,17,17,17,17,17
Senegal,,,,,,,,55,159,159
Seychelles,,6,6,6,6,6,6,6,6,6
Somalia,2,2,2,3,3,4,4,4,4,4
South Africa,10,257,569,1 079,1 473,2 094,2 094,2 094,2 516,2 956
Tanzania,,,,,,,,,2,2
Tunisia,173,200,233,240,240,240,245,245,245,245
Asia,82 809,99 542,124 336,161 804,184 185,205 015,229 093,257 667,332 302,385 396
Afghanistan,0,0,0,0,0,0,0,0,0,0
Bangladesh,2,2,2,3,3,3,3,3,3,3
Bhutan,,,,1,1,1,1,1,1,1
Cambodia,0,0,0,0,0,0,0,0,0,0
China,61 597,76 731,96 819,131 048,148 517,164 374,184 665,209 582,282 113,328 973
Chinese Taipei,571,614,637,647,682,692,713,845,937,1 033
India,17 300,18 420,22 465,25 088,28 700,32 848,35 288,37 505,38 559,40 067
Indonesia,1,1,1,1,1,1,144,154,154,154
Japan,2 562,2 646,2 753,2 808,3 247,3 483,3 498,3 951,4 371,4 471
Kazakhstan,2,4,53,72,98,112,121,284,486,1 170
Korea DPR,0,0,0,0,0,1,1,1,1,1
Korea Rep,464,576,612,847,1 067,1 215,1 420,1 494,1 636,1 708
Maldives,1,1,1,1,1,1,1,1,1,1
Mongolia,1,51,51,51,51,101,156,156,156,156
Myanmar,,,,0,0,0,0,0,0,0
Nepal,,0,0,0,0,0,0,0,0,0
Pakistan,56,106,206,308,591,789,1 186,1 236,1 236,1 335
Philippines,33,33,337,427,427,427,427,443,443,443
Singapore,,,,,,0,0,0,0,0
Sri Lanka,77,81,121,131,131,131,128,128,179,253
Thailand,112,223,225,234,507,628,1 103,1 507,1 507,1 507
Uzbekistan,,,,,,1,1,1,1,1
Viet Nam,31,53,53,136,160,205,237,375,518,4 118
C America + Carib,728,822,946,1 302,1 544,1 599,1 709,1 945,1 969,2 001
Antigua Barb,,,,,,,,,4,4
Aruba,30,30,30,30,30,30,30,30,30,30
Barbados,,,,,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0
BES Islands,11,11,11,11,11,11,11,11,11,11
Br Virgin Is,1,1,1,1,1,1,1,1,1,1
Costa Rica,144,144,193,272,365,378,408,411,394,394
Cuba,12,12,12,12,12,12,12,12,12,12
Curacao,30,30,30,30,30,47,47,47,47,47
Dominica,0,0,0,0,0,0,0,0,0,0
Dominican Rep,85,85,85,85,135,135,183,370,370,370
El Salvador,,,,,,,,,36,36
Grenada,0,0,0,0,0,0,0,0,0,0
Guadeloupe,23,23,23,27,26,26,26,42,42,52
Guatemala,,,,76,76,76,107,107,107,107
Haiti,,,,,,,0,0,0,0
Honduras,102,152,152,152,175,225,225,241,241,241
Jamaica,39,39,39,39,99,99,99,99,99,99
Martinique,1,1,1,1,1,1,1,13,15,14
Nicaragua,147,147,186,186,186,186,186,186,186,186
Panama,,20,55,253,270,270,270,270,270,270
Puerto Rico,101,125,125,125,125,101,101,102,102,125
St Kitts Nevis,2,2,2,2,2,2,2,2,2,2
Trinidad Tobago,,,,0,0,0,0,0,0,0
US Virgin Is,,0,0,0,0,0,0,0,0,0
Eurasia,2 276,2 775,3 645,4 525,5 801,6 566,7 146,7 783,9 868,12 653
CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,3,3,3,3,3,3,3,3,3,3
Azerbaijan,2,3,3,8,16,16,66,66,66,67
Georgia,,,,,20,20,20,21,21,21
Russian Fed,10,10,10,11,11,11,52,102,945,1 955
Turkey,2 261,2 760,3 630,4 503,5 751,6 516,7 005,7 591,8 832,10 607
Europe,107 196,118 181,130 209,143 010,155 763,170 624,181 904,196 339,207 878,222 052
Austria,1 337,1 675,2 110,2 489,2 730,2 887,3 133,3 224,3 226,3 524
Belarus,5,7,9,22,62,84,92,112,112,112
Belgium,1 370,1 780,1 944,2 176,2 370,2 788,3 268,3 863,4 681,4 780
Bosnia Herzg,0,0,0,0,0,0,51,87,135,135
Bulgaria,677,683,699,699,699,698,699,703,703,705
Croatia,180,254,339,418,483,576,586,646,801,988
Cyprus,147,147,147,158,158,158,158,158,158,158
Czechia,258,262,278,281,282,308,316,339,339,339
Denmark,4 162,4 819,4 886,5 077,5 245,5 489,6 115,6 103,6 259,7 014
Estonia,266,248,275,300,310,312,310,316,317,317
Faroe Islands,9,9,20,20,20,20,16,13,19,19
Finland,257,447,627,1 005,1 565,2 044,2 041,2 284,2 586,3 257
France,7 607,8 156,9 201,10 298,11 567,13 499,14 900,16 457,17 484,18 676
Germany,30 979,33 477,38 614,44 580,49 435,55 580,58 721,60 742,62 188,63 760
Greece,1 753,1 809,1 978,2 091,2 370,2 624,2 877,3 589,4 119,4 457
Hungary,325,329,329,329,329,329,329,323,321,321
Iceland,,2,3,3,3,2,2,2,2,2
Ireland,1 704,1 923,2 283,2 451,2 802,3 319,3 674,4 126,4 307,4 332
Italy,8 102,8 542,8 683,9 137,9 384,9 737,10 230,10 679,10 871,11 276
Kosovo*,1,1,1,1,1,34,34,34,32,137
Latvia,59,66,69,68,70,77,78,78,78,81
Lithuania,275,279,288,436,509,518,533,534,540,671
Luxembourg,58,58,58,64,120,120,123,136,153,157
Malta,0,0,0,0,0,0,0,0,0,0
Moldova Rep,,1,1,1,2,9,33,35,37,51
Montenegro,,,,,,72,72,118,118,118
Netherlands,2 433,2 713,2 865,3 391,4 257,4 202,4 393,4 484,6 619,7 801
North Macedonia,,,37,37,37,37,37,37,37,37
Norway,705,818,859,867,883,1 207,1 710,2 914,4 030,4 650
Poland,2 564,3 429,3 836,4 886,5 747,5 759,5 766,5 837,6 298,6 958
Portugal,4 412,4 610,4 857,4 937,5 124,5 124,5 172,5 223,5 122,5 248
Romania,1 822,2 773,3 244,3 130,3 025,3 030,3 032,3 038,3 013,3 013
Serbia,1,1,1,10,17,25,227,398,398,398
Slovakia,3,5,3,3,3,4,3,4,3,3
Slovenia,2,2,3,3,3,3,3,3,3,2
Spain,22 789,22 958,22 925,22 943,22 990,23 124,23 405,25 590,26 819,27 497
Sweden,3 606,4 194,5 088,5 819,6 435,6 611,7 300,8 681,9 976,12 080
Switzerland,49,60,60,60,75,75,75,75,87,87
UK,9 030,11 282,13 074,14 306,16 126,19 585,21 767,24 095,24 485,27 130
Ukraine,248,362,514,514,526,553,621,1 258,1 402,1 761
European Union (27),97 187,105 678,115 670,127 212,138 055,148 964,157 211,167 233,177 057,187 497
Middle East,115,122,165,286,423,504,609,775,923,1 029
Bahrain,1,1,1,1,1,1,1,1,1,1
Iran IR,106,108,149,153,191,259,282,305,308,310
Israel,6,6,6,6,27,27,27,27,27,27
Jordan,1,1,1,118,198,198,280,373,518,622
Kuwait,,2,2,2,2,12,12,12,12,12
Lebanon,1,2,3,3,3,3,3,3,3,3
Oman,,,,,,,,50,50,50
Saudi Arabia,,,,,,3,3,3,3,3
Syrian AR,1,1,1,1,1,1,1,1,1,1
United Arab Em,,1,2,2,,,,,,
N America,67 092,69 897,76 495,87 058,97 310,104 046,112 208,123 516,138 863,154 733
Canada,6 201,7 801,9 694,11 214,11 973,12 250,12 816,13 413,13 627,14 304
Greenland,,,,,,,0,0,0,0
Mexico,1 815,2 122,2 569,3 271,4 051,4 199,4 876,6 050,6 504,7 692
St Pierre Mq,1,1,,,,,,,,
USA,59 075,59 973,64 232,72 573,81 286,87 597,94 516,104 052,118 732,132 738
Oceania,3 235,3 895,4 531,4 922,5 066,5 553,6 184,7 023,9 442,9 922
Australia,2 561,3 221,3 797,4 181,4 324,4 812,5 442,6 279,8 603,8 951
Cook Is,0,0,0,0,0,0,0,0,0,0
Fiji,10,10,10,10,10,10,10,10,10,10
Fr Polynesia,0,0,0,0,0,0,0,0,0,0
Guam,,,,,0,0,0,0,0,0
Marshall Is,,,,,,,0,0,0,0
Micronesia,,,,,,,1,1,1,1
New Caledon,38,38,38,38,38,38,38,38,38,38
New Zealand,623,623,682,689,689,689,689,689,784,917
CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Samoa,,,1,1,1,1,1,1,1,1
Tokelau,,,,,,,,0,0,0
Tonga,,0,0,0,0,0,0,2,2,2
Vanuatu,3,3,4,4,4,3,3,3,3,3
S America,2 340,2 864,6 580,9 943,12 947,15 727,19 141,20 694,24 034,29 754
Argentina,137,190,215,187,187,227,750,1 609,2 624,3 292
Bolivia,0,0,3,3,27,27,27,27,27,128
Brazil,1 894,2 202,4 888,7 633,10 129,12 304,14 843,15 438,17 198,21 161
Chile,202,301,736,910,1 039,1 305,1 524,1 620,2 149,3 137
Colombia,18,18,18,18,18,18,18,18,18,18
Ecuador,2,19,21,21,21,21,21,21,21,21
Falklands Malv,2,2,2,2,2,2,2,2,2,2
Guyana,0,0,0,0,0,0,0,0,0,0
Peru,1,1,143,240,240,240,372,372,409,409
South Georgia,0,0,0,0,0,0,0,0,0,0
Uruguay,53,59,481,857,1 211,1 511,1 511,1 514,1 514,1 514
Venezuela,30,71,71,71,71,71,71,71,71,71
